dia,susceptibles,infectados,recuperados,muertos
0,999995,5,0,0
1,999990,10,0,0
2,999980,20,0,0
3,999966,33,1,0
4,999951,46,3,0
5,999939,54,7,0
6,999922,69,9,0
7,999905,79,16,0
8,999880,100,20,0
9,999852,120,27,1
10,999819,148,31,2
11,999789,169,39,3
12,999750,197,49,4
13,999714,222,60,4
14,999679,243,72,6
15,999626,283,85,6
16,999571,326,97,6
17,999519,359,116,6
18,999476,380,137,7
19,999434,394,163,9
20,999381,422,188,9
21,999315,469,206,10
22,999256,498,234,12
23,999189,540,256,15
24,999118,586,279,17
25,999038,635,307,20
26,998965,669,340,26
27,998894,702,377,27
28,998818,738,413,31
29,998741,760,461,38
30,998649,816,495,40
31,998551,875,532,42
32,998465,912,576,47
33,998379,938,634,49
34,998275,992,678,55
35,998179,1028,733,60
36,998064,1080,793,63
37,997955,1127,850,68
38,997861,1169,896,74
39,997747,1232,945,76
40,997632,1275,1007,86
41,997523,1314,1072,91
42,997414,1351,1138,97
43,997288,1405,1204,103
44,997156,1466,1271,107
45,997022,1526,1342,110
46,996881,1591,1408,120
47,996741,1631,1498,130
48,996608,1668,1582,142
49,996468,1724,1662,146
50,996325,1756,1767,152
51,996178,1808,1856,158
52,996013,1854,1968,165
53,995859,1908,2064,169
54,995703,1967,2148,182
55,995548,2024,2233,195
56,995385,2081,2331,203
57,995219,2135,2431,215
58,995052,2188,2537,223
59,994887,2235,2647,231
60,994709,2285,2762,244
61,994541,2339,2863,257
62,994353,2393,2986,268
63,994178,2441,3104,277
64,993985,2501,3224,290
65,993803,2528,3363,306
66,993616,2586,3476,322
67,993407,2641,3613,339
68,993200,2705,3738,357
69,992999,2771,3857,373
70,992797,2830,3990,383
71,992597,2888,4120,395
72,992382,2944,4260,414
73,992172,2973,4428,427
74,991947,3022,4590,441
75,991728,3070,4751,451
76,991510,3107,4914,469
77,991308,3137,5070,485
78,991082,3178,5239,501
79,990844,3244,5400,512
80,990620,3294,5551,535
81,990379,3331,5733,557
82,990137,3380,5903,580
83,989887,3442,6069,602
84,989645,3500,6237,618
85,989418,3533,6418,631
86,989163,3588,6604,645
87,988882,3677,6778,663
88,988631,3718,6964,687
89,988375,3772,7144,709
90,988097,3844,7335,724
91,987822,3891,7537,750
92,987566,3924,7733,777
93,987306,3975,7918,801
94,987023,4025,8134,818
95,986748,4087,8328,837
96,986482,4118,8542,858
97,986203,4185,8736,876
98,985913,4233,8953,901
99,985627,4279,9173,921
100,985344,4327,9385,944
101,985056,4384,9597,963
